algoritmo,S,T,result,used_memory,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
memo,textos/file1.txt,textos/file2.txt,3966,71296,2.46029e+08,1.29025e+07,2.32786e+08,2.37812e+08,2.43195e+08,2.50012e+08,3.02683e+08
memo,textos/file1.txt,textos/file3.txt,7175,129152,4.37232e+08,2.07774e+07,3.96343e+08,4.27681e+08,4.3555e+08,4.48492e+08,5.01287e+08
memo,textos/file1.txt,textos/file4.txt,9447,165120,6.06159e+08,2.02199e+07,5.75895e+08,5.94162e+08,6.00192e+08,6.15573e+08,6.59722e+08
memo,textos/file2.txt,textos/file1.txt,3966,71296,2.6077e+08,7.63087e+06,2.48125e+08,2.53412e+08,2.62401e+08,2.64536e+08,2.7897e+08
memo,textos/file2.txt,textos/file3.txt,7611,276992,1.02752e+09,4.93079e+07,9.45623e+08,1.00019e+09,1.02365e+09,1.04578e+09,1.17707e+09
memo,textos/file2.txt,textos/file4.txt,9755,355328,1.3077e+09,6.36255e+07,1.22802e+09,1.26489e+09,1.30197e+09,1.34088e+09,1.51608e+09
memo,textos/file3.txt,textos/file1.txt,7175,129280,4.79136e+08,2.23583e+07,4.4148e+08,4.63636e+08,4.75733e+08,4.98925e+08,5.19076e+08
memo,textos/file3.txt,textos/file2.txt,7611,277248,1.01627e+09,4.57248e+07,9.62047e+08,9.8074e+08,1.0182e+09,1.02855e+09,1.15635e+09
memo,textos/file3.txt,textos/file4.txt,11388,656128,2.56093e+09,1.16303e+08,2.37955e+09,2.46234e+09,2.55004e+09,2.64987e+09,2.78956e+09
memo,textos/file4.txt,textos/file1.txt,9447,165376,6.07348e+08,1.44134e+07,5.83229e+08,5.94615e+08,6.06011e+08,6.19379e+08,6.42682e+08
memo,textos/file4.txt,textos/file2.txt,9755,355840,1.31225e+09,2.90773e+07,1.26821e+09,1.2911e+09,1.30497e+09,1.33127e+09,1.38058e+09
memo,textos/file4.txt,textos/file3.txt,11388,656128,2.46948e+09,1.34869e+08,2.32008e+09,2.36642e+09,2.4231e+09,2.56992e+09,2.89224e+09
DP,textos/file1.txt,textos/file2.txt,3966,37120,1.07986e+08,3.58383e+06,1.03773e+08,1.05302e+08,1.06911e+08,1.09822e+08,1.16188e+08
DP,textos/file1.txt,textos/file3.txt,7175,66048,2.00684e+08,5.52398e+06,1.91597e+08,1.96305e+08,1.99322e+08,2.06132e+08,2.10541e+08
DP,textos/file1.txt,textos/file4.txt,9447,83968,2.61266e+08,6.3333e+06,2.52082e+08,2.56224e+08,2.59953e+08,2.65597e+08,2.79915e+08
DP,textos/file2.txt,textos/file1.txt,3966,37248,1.10065e+08,3.29345e+06,1.04341e+08,1.07214e+08,1.10583e+08,1.1275e+08,1.18666e+08
DP,textos/file2.txt,textos/file3.txt,7611,139904,4.33881e+08,7.76631e+06,4.19996e+08,4.27691e+08,4.3197e+08,4.40324e+08,4.50849e+08
DP,textos/file2.txt,textos/file4.txt,9755,179200,5.80663e+08,2.20683e+07,5.36512e+08,5.65996e+08,5.81587e+08,5.90853e+08,6.24784e+08
DP,textos/file3.txt,textos/file1.txt,7175,66048,2.09263e+08,7.49208e+06,1.96313e+08,2.04125e+08,2.08603e+08,2.12728e+08,2.26268e+08
DP,textos/file3.txt,textos/file2.txt,7611,139904,4.48268e+08,1.32669e+07,4.20738e+08,4.3959e+08,4.48672e+08,4.56332e+08,4.74899e+08
DP,textos/file3.txt,textos/file4.txt,11388,329472,1.05231e+09,2.85738e+07,9.98338e+08,1.03038e+09,1.04463e+09,1.07774e+09,1.10844e+09
DP,textos/file4.txt,textos/file1.txt,9447,84224,2.62458e+08,7.32783e+06,2.50951e+08,2.57683e+08,2.61608e+08,2.6746e+08,2.80307e+08
DP,textos/file4.txt,textos/file2.txt,9755,179200,5.57945e+08,1.23056e+07,5.42408e+08,5.47427e+08,5.5538e+08,5.68098e+08,5.84054e+08
DP,textos/file4.txt,textos/file3.txt,11388,329472,1.05633e+09,1.97663e+07,1.01848e+09,1.04558e+09,1.05397e+09,1.06695e+09,1.10291e+09
DPO,textos/file1.txt,textos/file2.txt,3966,3712,7.35298e+07,3.58354e+06,6.98668e+07,7.13293e+07,7.21714e+07,7.46242e+07,8.30256e+07
DPO,textos/file1.txt,textos/file3.txt,7175,3840,1.37099e+08,3.748e+06,1.31422e+08,1.3338e+08,1.37069e+08,1.39502e+08,1.45215e+08
DPO,textos/file1.txt,textos/file4.txt,9447,3840,1.72537e+08,2.80456e+06,1.68605e+08,1.7013e+08,1.71987e+08,1.74847e+08,1.77889e+08
DPO,textos/file2.txt,textos/file1.txt,3966,3712,6.9456e+07,873514,6.8166e+07,6.86329e+07,6.94031e+07,7.014e+07,7.17813e+07
DPO,textos/file2.txt,textos/file3.txt,7611,3712,2.98753e+08,5.35428e+06,2.90584e+08,2.94384e+08,2.9908e+08,3.01468e+08,3.12151e+08
DPO,textos/file2.txt,textos/file4.txt,9755,3712,3.75767e+08,5.72627e+06,3.68489e+08,3.71221e+08,3.74109e+08,3.79978e+08,3.87472e+08
DPO,textos/file3.txt,textos/file1.txt,7175,3584,1.23764e+08,1.04133e+06,1.22139e+08,1.22965e+08,1.2358e+08,1.24153e+08,1.27411e+08
DPO,textos/file3.txt,textos/file2.txt,7611,3712,2.78432e+08,2.08215e+06,2.76226e+08,2.77331e+08,2.78023e+08,2.7863e+08,2.84855e+08
DPO,textos/file3.txt,textos/file4.txt,11388,3840,6.89719e+08,8.67301e+06,6.80741e+08,6.83217e+08,6.86471e+08,6.95338e+08,7.12253e+08
DPO,textos/file4.txt,textos/file1.txt,9447,3584,1.58855e+08,3.56868e+06,1.53878e+08,1.56349e+08,1.5767e+08,1.61008e+08,1.66987e+08
DPO,textos/file4.txt,textos/file2.txt,9755,3584,3.57343e+08,5.68062e+06,3.48436e+08,3.52784e+08,3.56429e+08,3.62172e+08,3.69892e+08
DPO,textos/file4.txt,textos/file3.txt,11388,3712,6.7852e+08,2.42515e+06,6.73646e+08,6.77283e+08,6.78458e+08,6.79546e+08,6.86432e+08